state,year,quarter,transaction_type,transaction_count,transaction_amount_rupees,transaction_amount_crore,avg_transaction_value,region
andaman-&-nicobar-islands,2018,1,Financial Services,33,10601.419933464953,0.0010601419933464952,321.25514949893795,North-East
andaman-&-nicobar-islands,2018,1,Merchant payments,298,452507.168646613,0.045250716864661304,1518.4804317000437,North-East
andaman-&-nicobar-islands,2018,1,Others,256,184689.8662902223,0.01846898662902223,721.4447901961809,North-East
andaman-&-nicobar-islands,2018,1,Peer-to-peer payments,1871,12138655.299749982,1.213865529974998,6487.790112105816,North-East
andaman-&-nicobar-islands,2018,1,Recharge & bill payments,4200,1845307.4673655091,0.18453074673655093,439.3589208013117,North-East
andaman-&-nicobar-islands,2018,2,Financial Services,59,121336.0270987509,0.01213360270987509,2056.5428321822187,North-East
andaman-&-nicobar-islands,2018,2,Merchant payments,603,1024491.0133579008,0.10244910133579008,1698.9900719036498,North-East
andaman-&-nicobar-islands,2018,2,Others,368,359838.50537474576,0.035983850537474577,977.8220254748526,North-East
andaman-&-nicobar-islands,2018,2,Peer-to-peer payments,3575,24511925.231047668,2.451192523104767,6856.482582111235,North-East
andaman-&-nicobar-islands,2018,2,Recharge & bill payments,6735,2320944.731074479,0.2320944731074479,344.6094626688165,North-East
andaman-&-nicobar-islands,2018,3,Financial Services,42,1481.4907042806485,0.00014814907042806486,35.2735881971583,North-East
andaman-&-nicobar-islands,2018,3,Merchant payments,945,1627359.8394868043,0.16273598394868044,1722.0739042188407,North-East
andaman-&-nicobar-islands,2018,3,Others,194,314343.39410715323,0.03143433941071532,1620.3267737482126,North-East
andaman-&-nicobar-islands,2018,3,Peer-to-peer payments,6448,49270781.541635044,4.927078154163504,7641.250239087321,North-East
andaman-&-nicobar-islands,2018,3,Recharge & bill payments,8636,4343504.868377829,0.4343504868377829,502.95331963615433,North-East
andaman-&-nicobar-islands,2018,4,Financial Services,29,76035.7877393286,0.00760357877393286,2621.923715149262,North-East
andaman-&-nicobar-islands,2018,4,Merchant payments,1421,3552027.735492656,0.3552027735492656,2499.667653407921,North-East
andaman-&-nicobar-islands,2018,4,Others,340,468266.0606770435,0.04682660606770435,1377.2531196383632,North-East
andaman-&-nicobar-islands,2018,4,Peer-to-peer payments,10451,81001456.97825177,8.100145697825177,7750.593912376976,North-East
andaman-&-nicobar-islands,2018,4,Recharge & bill payments,11517,5450549.512294375,0.5450549512294375,473.26122360809023,North-East
andaman-&-nicobar-islands,2019,1,Financial Services,62,116250.43671861099,0.0116250436718611,1875.0070438485643,North-East
andaman-&-nicobar-islands,2019,1,Merchant payments,1759,3266589.8469614363,0.32665898469614363,1857.0721131105379,North-East
andaman-&-nicobar-islands,2019,1,Others,283,497094.6484417205,0.049709464844172054,1756.5181923735709,North-East
andaman-&-nicobar-islands,2019,1,Peer-to-peer payments,13119,91808345.86839552,9.180834586839552,6998.120730878537,North-East
andaman-&-nicobar-islands,2019,1,Recharge & bill payments,15263,6611459.8729725825,0.6611459872972583,433.1690934267564,North-East
andaman-&-nicobar-islands,2019,2,Financial Services,124,113278.91371326067,0.011327891371326067,913.5396267198441,North-East
andaman-&-nicobar-islands,2019,2,Merchant payments,4031,4702152.616619372,0.47021526166193717,1166.4977962340292,North-East
andaman-&-nicobar-islands,2019,2,Others,377,671471.222589792,0.0671471222589792,1781.090776100244,North-East
andaman-&-nicobar-islands,2019,2,Peer-to-peer payments,14481,107525358.66652842,10.752535866652842,7425.271643293172,North-East
andaman-&-nicobar-islands,2019,2,Recharge & bill payments,14676,7242448.256212333,0.7242448256212333,493.4892515816526,North-East
andaman-&-nicobar-islands,2019,3,Financial Services,50,158857.94315586874,0.015885794315586874,3177.1588631173745,North-East
andaman-&-nicobar-islands,2019,3,Merchant payments,3519,4428734.574846684,0.4428734574846684,1258.5207657990009,North-East
andaman-&-nicobar-islands,2019,3,Others,215,232624.75992853564,0.023262475992853564,1081.9756275745845,North-East
